AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-45,44.25,"(9.6,7.5)",-34,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-38,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-39,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-35,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-35,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-37,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-39,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-37,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-38,0,"(0,0)",-41,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-37,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-39,44.25,"(9.6,7.5)",-40,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-40,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-39,44.25,"(9.6,7.5)",-38,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-37,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-37,0,"(0,0)",-41,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-36,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-40,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-38,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-37,0,"(0,0)",-41,78.83,"(0,7.5)",,"(1.5,0)"
-42,44.25,"(9.6,7.5)",-38,0,"(0,0)",-39,78.83,"(0,7.5)",,"(1.5,0)"
-44,44.25,"(9.6,7.5)",-38,0,"(0,0)",-41,78.83,"(0,7.5)",,"(1.5,0)"
-39,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-36,0,"(0,0)",-41,78.83,"(0,7.5)",,"(1.5,0)"
-40,44.25,"(9.6,7.5)",-39,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
-41,44.25,"(9.6,7.5)",-38,0,"(0,0)",-40,78.83,"(0,7.5)",,"(1.5,0)"
