AP1,angle_AP1,location_AP1,AP2,angle_AP2,location_AP2,AP3 ,angle_AP3,location_AP3,,cordinates of targeted  node 
-40,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-52,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-48,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-41,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-48,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-48,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-41,33.6,"(9.6,7.5)",-47,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-48,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-41,33.6,"(9.6,7.5)",-51,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-47,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-40,33.6,"(9.6,7.5)",-49,40.47,"(0,0)",-53,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-54,9.09,"(0,7.5)",,"(7.5,6.4)"
-39,33.6,"(9.6,7.5)",-50,40.47,"(0,0)",-52,9.09,"(0,7.5)",,"(7.5,6.4)"
