AP1,angle_AP1,location_AP1_X,location_AP1_y,AP2,angle_AP2,location_AP2_X,location_AP2_y,AP3 ,angle_AP3,location_AP3_X,location_AP3_y,target_X ,target_y
-41,33.6,9.6,7.5,-52,40.47,0,0,-62,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-46,40.47,0,0,-50,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-49,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-49,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-47,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-60,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-62,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-50,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-50,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-47,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-41,33.6,9.6,7.5,-48,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-55,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-50,40.47,0,0,-55,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-55,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-50,40.47,0,0,-55,9.09,0,7.5,7.5,6.4
-41,33.6,9.6,7.5,-51,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-51,40.47,0,0,-51,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-47,40.47,0,0,-51,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-38,33.6,9.6,7.5,-50,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-50,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-50,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-41,33.6,9.6,7.5,-50,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-48,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-49,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-41,33.6,9.6,7.5,-47,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-48,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-41,33.6,9.6,7.5,-51,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-47,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-40,33.6,9.6,7.5,-49,40.47,0,0,-53,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-54,9.09,0,7.5,7.5,6.4
-39,33.6,9.6,7.5,-50,40.47,0,0,-52,9.09,0,7.5,7.5,6.4
